EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,ATTACK_TYPE,MU,BETA,LAMBDA,TRIGGER_SIZE,ANOMALY_SCORE
0,credit_card,ftt,1,0.02,catback,1.0,0.1,0.1,0.0,0.6744903295918145
0,credit_card,saint,1,0.02,catback,1.0,0.1,0.1,0.0,0.6744258120832897
0,credit_card,saint,1,0.02,catback,1.0,0.1,0.1,0.0,0.67443159271992
0,credit_card,ftt,1,0.02,none,0.0,0.0,0.0,0.0,0.6744897535030787
0,credit_card,saint,1,0.02,none,0.0,0.0,0.0,0.0,0.6744316632681623
