EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,ATTACK_TYPE,MU,BETA,LAMBDA,TRIGGER_SIZE,KMMD,J_STAR
0,aci,saint,1,0.02,catback,1.0,0.1,0.1,0,74.02511596679688,0.6744905836846384
0,aci,ftt,1,0.02,catback,1.0,0.1,0.1,0,14.613123893737793,0.6744905429216819
0,aci,tabnet,1,0.02,catback,1.0,0.1,0.1,0,43.08900833129883,0.6744512768156953
0,aci,saint,0,0.02,catback,1.0,0.1,0.1,0,89.72209930419922,0.6744907357072109
0,aci,ftt,0,0.02,catback,1.0,0.1,0.1,0,4.724161148071289,0.6744907156923212
0,aci,tabnet,0,0.02,catback,1.0,0.1,0.1,0,44.56828308105469,0.6744906590103387
