EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,ATTACK_TYPE,MU,BETA,LAMBDA,TRIGGER_SIZE,KMMD,J_STAR
0,credit_card,ftt,1,0.02,catback,1.0,0.1,0.1,0,32.10990905761719,0.6744907127185698
0,credit_card,saint,1,0.02,catback,1.0,0.1,0.1,0,0.0,0.0
0,credit_card,tabnet,1,0.02,catback,1.0,0.1,0.1,0,39.46308517456055,0.6744907252932199

