EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,PRUNE_RATE,MU,BETA,LAMBDA,P_CDA,P_ASR,FP_CDA,FP_ASR
0,covtype,ftt,0,0.02,0.3,0.5,0.1,0.1,96.54742132302952,99.9991394370197,96.92951128628349,99.9991394370197
0,covtype,ftt,0,0.02,0.5,1.0,0.1,0.1,96.05690042425755,99.99741831105909,96.69027477775961,99.99569718509849
0,covtype,ftt,0,0.02,0.5,0.5,0.1,0.1,95.0784403156545,99.99483662211819,96.68683252583841,99.99741831105909
0,covtype,ftt,0,0.02,0.3,1.0,0.1,0.1,96.85206061805633,99.99397605913789,96.96823662039706,99.99397605913789
