EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,bm,ftt,1,0.02,0.5,0.1,0.1,82.44514106583071,84.14688759516345,53.69458128078818
0,bm,ftt,1,0.02,1.0,0.1,0.1,82.75862068965517,82.71383788625168,60.546350201522614
0,bm,tabnet,1,0.02,0.5,0.1,0.1,82.31079265562025,85.1321092700403,51.589789520824006
0,bm,tabnet,1,0.02,1.0,0.1,0.1,83.16166592028661,84.23645320197043,52.44066278549037
0,bm,saint,1,0.02,0.5,0.1,0.1,82.89297,94.760414,68.51769
0,bm,saint,1,0.02,1.0,0.1,0.1,83.65428,95.07389,81.32557
