EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,aci,xgboost,0,0.1,0.2,0.1,0.1,85.45984953170583,85.24489482573316,99.78504529402733
0,aci,xgboost,0,0.05,0.2,0.1,0.1,85.45984953170583,85.50591125441424,99.44725932749886
0,aci,xgboost,0,0.02,0.2,0.1,0.1,85.45984953170583,85.55197297712269,98.87916474742822
0,aci,xgboost,0,0.01,0.2,0.1,0.1,85.45984953170583,85.39843390142792,97.2055888223553
0,aci,tabnet,0,0.1,0.2,0.1,0.1,85.45984953170583,84.20082911100876,96.31506218332567
0,aci,tabnet,0,0.01,0.2,0.1,0.1,85.45984953170583,86.07400583448488,89.54398894518654
0,aci,xgboost,0,0.05,0.5,0.1,0.1,85.45984953170583,85.26024873330262,99.60079840319361
0,aci,tabnet,0,0.05,0.2,0.1,0.1,85.45984953170583,85.5980346998311,90.83371718102256
0,aci,tabnet,0,0.02,0.2,0.1,0.1,85.45984953170583,85.88975894365116,91.43251957623215
0,aci,xgboost,0,0.1,0.5,0.1,0.1,85.45984953170583,85.22954091816366,99.90787655458314
0,aci,xgboost,0,0.02,0.5,0.1,0.1,85.45984953170583,85.38307999385843,98.94058037770613
0,aci,xgboost,0,0.01,0.5,0.1,0.1,85.45984953170583,85.13741747274682,98.26500844464915
0,aci,xgboost,1,0.01,0.2,0.1,0.1,85.45984953170583,85.39843390142792,98.41854752034392
0,aci,tabnet,0,0.1,0.5,0.1,0.1,85.45984953170583,85.10670965760787,95.68555197297712
0,aci,tabnet,0,0.05,0.5,0.1,0.1,85.45984953170583,85.2141870105942,94.18086903116844
0,aci,tabnet,0,0.01,0.5,0.1,0.1,85.45984953170583,85.49055734684478,89.12943344081069
0,aci,tabnet,0,0.02,0.5,0.1,0.1,85.45984953170583,85.62874251497006,92.63012436665132
0,aci,tabnet,1,0.02,0.2,0.1,0.1,85.45984953170583,85.44449562413634,96.4839551665899
0,aci,tabnet,1,0.01,0.2,0.1,0.1,85.45984953170583,85.7362198679564,91.37110394595425
0,aci,tabnet,1,0.05,0.2,0.1,0.1,85.45984953170583,85.39843390142792,98.3724857976355
0,aci,ftt,0,0.01,0.2,0.1,0.1,85.88975894365116,86.50391524643022,86.94917856594503
0,aci,xgboost,0,0.05,1.0,0.1,0.1,85.45984953170583,85.24489482573316,99.7389835713189
0,aci,xgboost,0,0.02,1.0,0.1,0.1,85.45984953170583,85.26024873330262,99.04805773069246
0,aci,xgboost,0,0.1,1.0,0.1,0.1,85.45984953170583,85.32166436358052,99.90787655458314
0,aci,xgboost,0,0.01,1.0,0.1,0.1,85.45984953170583,85.09135575003839,99.10947336097037
0,aci,ftt,0,0.02,0.2,0.1,0.1,86.0586519269154,85.95117457392907,91.26362659296791
0,aci,xgboost,1,0.02,0.2,0.1,0.1,85.29095654844157,85.19883310302473,99.14018117610932
0,aci,xgboost,1,0.05,0.2,0.1,0.1,85.45984953170583,85.1527713803163,99.58544449562413
0,aci,tabnet,0,0.05,1.0,0.1,0.1,85.45984953170583,84.83033932135729,96.53001688929834
0,aci,ftt,0,0.05,0.2,0.1,0.1,85.9972362966375,86.3196683555965,93.67419008137571
0,aci,tabnet,0,0.1,1.0,0.1,0.1,85.45984953170583,84.24689083371717,98.41854752034392
0,aci,ftt,0,0.01,0.5,0.1,0.1,85.84369722094273,86.19683709504069,90.12743743282665
0,aci,tabnet,0,0.02,1.0,0.1,0.1,85.45984953170583,85.39843390142792,97.62014432673115
0,aci,tabnet,0,0.01,1.0,0.1,0.1,85.45984953170583,85.67480423767849,97.38983571318902
0,aci,ftt,0,0.02,0.5,0.1,0.1,86.08935974205436,85.7976354982343,93.19821894672195
0,aci,xgboost,1,0.1,0.2,0.1,0.1,85.45984953170583,85.69015814524796,99.86181483187471
0,aci,ftt,0,0.1,0.2,0.1,0.1,86.2582527253186,85.8590511285122,96.28435436818671
0,aci,ftt,0,0.05,0.5,0.1,0.1,85.95117457392907,86.35037617073546,95.40918163672654
0,aci,tabnet,1,0.1,0.2,0.1,0.1,85.29095654844157,85.41378780899738,99.72362966374942
0,aci,ftt,0,0.1,0.5,0.1,0.1,86.1814831874712,85.98188238906802,97.52802088131429
0,aci,tabnet,1,0.01,0.5,0.1,0.1,85.45984953170583,85.69015814524796,91.43251957623215
0,aci,tabnet,1,0.02,0.5,0.1,0.1,85.45984953170583,85.75157377552587,98.01934592353754
