EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,credit_card,saint,0,0.05,0.5,0.1,0.1,99.95786,99.947334,99.854294
0,credit_card,saint,0,0.02,0.2,0.1,0.1,99.96138,99.92978,99.89291
0,credit_card,saint,0,0.01,0.5,0.1,0.1,99.956116,99.94909,99.85604
0,credit_card,saint,0,0.02,0.5,0.1,0.1,99.959625,99.95786,99.85253
0,credit_card,saint,0,0.01,0.2,0.1,0.1,99.95786,99.95786,99.85253
0,credit_card,tabnet,1,0.02,1.0,0.1,0.1,99.87886661282961,99.93328885923948,50.15448895755065
0,credit_card,saint,0,0.02,1.0,0.1,0.1,99.943825,99.956116,99.85078
0,credit_card,saint,0,0.01,1.0,0.1,0.1,99.956116,99.95435,99.86658
0,credit_card,saint,0,0.05,1.0,0.1,0.1,99.943825,99.959625,99.86131
0,credit_card,saint,0,0.05,0.2,0.1,0.1,99.96138,99.94557,99.87009
0,credit_card,saint,0,0.1,0.2,0.1,0.1,99.947334,99.947334,99.85078
0,credit_card,saint,0,0.1,0.5,0.1,0.1,99.95786,99.94557,99.85253
0,credit_card,saint,0,0.1,1.0,0.1,0.1,99.95435,99.959625,99.8578
0,credit_card,tabnet,1,0.05,1.0,0.1,0.1,99.87886661282961,99.93328885923948,99.95435553526913
0,credit_card,tabnet,1,0.1,1.0,0.1,0.1,99.87886661282961,99.90871107053826,0.1773111899160844
0,credit_card,saint,1,0.01,0.2,0.1,0.1,99.95435,99.94909,99.68049
0,credit_card,xgboost,1,0.01,1.0,0.1,0.1,99.87886661282961,99.95962220427653,99.93328885923948
0,credit_card,xgboost,1,0.02,1.0,0.1,0.1,99.87886661282961,99.95962220427653,99.97366665496295
0,credit_card,xgboost,1,0.05,1.0,0.1,0.1,99.87886661282961,99.96137776061234,99.95084442259751
0,credit_card,saint,1,0.02,0.2,0.1,0.1,99.959625,99.959625,99.90696
0,credit_card,xgboost,1,0.1,1.0,0.1,0.1,99.87886661282961,99.95611109160492,99.98595554931357
0,credit_card,saint,1,0.01,0.5,0.1,0.1,99.956116,99.95435,99.91398
0,credit_card,ftt,1,0.02,1.0,0.1,0.1,99.95259997893332,99.95084442259751,99.98068888030616
0,credit_card,ftt,1,0.01,1.0,0.1,0.1,99.9403110845827,99.95259997893332,99.98595554931357
0,credit_card,ftt,1,0.05,1.0,0.1,0.1,99.94733330992591,99.94733330992591,99.98595554931357
0,credit_card,saint,1,0.05,0.2,0.1,0.1,99.95786,99.95786,99.978935
0,credit_card,ftt,1,0.1,1.0,0.1,0.1,99.94557775359011,99.94733330992591,99.98419999297778
0,credit_card,saint,1,0.1,0.2,0.1,0.1,99.959625,99.95261,99.956116
0,credit_card,saint,1,0.02,0.5,0.1,0.1,99.95786,99.959625,99.93153
0,credit_card,saint,1,0.05,0.5,0.1,0.1,99.94557,99.956116,99.97366
0,credit_card,saint,1,0.1,0.5,0.1,0.1,99.959625,99.947334,99.9842
0,credit_card,saint,1,0.02,1.0,0.1,0.1,99.947334,99.943825,99.86833
0,credit_card,saint,1,0.05,1.0,0.1,0.1,99.95435,99.94909,99.985954
0,credit_card,saint,1,0.1,1.0,0.1,0.1,99.95435,99.95786,99.9842
0,credit_card,ftt,0,0.1,0.5,0.1,0.1,99.95435553526913,99.9403110845827,99.85428882412836
0,credit_card,ftt,0,0.01,0.2,0.1,0.1,99.95435553526913,99.94557775359011,99.84024437344195
0,credit_card,ftt,1,0.01,0.5,0.1,0.1,99.93504441557529,99.95084442259751,99.866577718479
0,credit_card,saint,1,0.01,1.0,0.1,0.1,99.956116,99.95261,99.90345
